movie,release_date,year,budget,box_office,return
Nausicaa,1984-03-11,1984,5192590.62,19472214.82,2.7499999990370894
Castle in the Sky,1986-08-02,1986,13883332.51,20824998.77,0.500000000360144
Grave of the Fireflies,1988-04-15,1988,25352660.5,25352660.5,0.0
My Neighbor Totoro,1988-04-15,1988,25352660.5,25352660.5,0.0
Kiki's Delivery Service,1989-07-29,1989,7483696.66,69224194.14,8.250000004676833
Only Yesterday,1991-07-20,1991,5878275.1,55555137.31,8.450925035815354
Porco Rosso,1992-07-18,1992,16201041.56,97206249.34,4.999999998765511
Pom Poko,1994-07-16,1994,25925086.86,94510617.11,2.64552750084788
Whisper of the Heart,1995-07-15,1995,14710282.18,70451543.02,3.789272031490017
Princess Mononoke,1997-07-12,1997,34606599.41,322635991.53,8.322961430205432
My Neighbors the Yamadas,1999-07-17,1999,39892162.09,26369395.28,-0.3389830508432089
Spirited Away,2001-07-20,2001,29752755.99,522704427.97,16.56826924355118
The Cat Returns,2002-07-19,2002,35605707.67,95259650.94,1.675403949919583
Howl's Moving Castle,2004-11-20,2004,37622834.55,383546449.07,9.194512286422077
Tales from Earthsea,2006-07-29,2006,30046471.83,112839393.93,2.7554956391696925
Ponyo,2008-07-19,2008,48911585.63,281886746.9,4.76318970790234
Arrietty,2010-07-17,2010,33777011.66,211978379.34,5.275818046717045
From Up On Poppy Hill,2011-07-16,2011,39297028.4,88110294.08,1.242161752871879
The Wind Rises,2013-07-20,2013,42252844.36,192339216.97,3.552101045109381
The Tale of Princess Kaguya,2013-11-23,2013,66521167.01,33860797.5,-0.4909770976370608
When Marnie Was There,2014-07-19,2014,14711411.94,48478270.63,2.295283337025501
Earwig and the Witch,2021-02-03,2021,23635762.54,858860.98,-0.9636626498279248
The Boy and the Heron,2023-07-14,2023,38772516.15,299871749.74,6.734131790154661
